"","Year","Month","Day","air_temp_5m","rain"
"153",2010,1,13,-24.8875,NA
"154",2011,1,13,-21.8595833333333,NA
"155",2012,1,13,-30.6529166666667,NA
"156",2013,1,13,-4.440125,NA
"157",2014,1,13,-35.27375,0
"158",2015,1,13,-26.5079166666667,0
"159",2016,1,13,-20.5258333333333,0
"160",2017,1,13,-37.29375,NA
"161",2018,1,13,-4.93945833333333,0.3
"162",2019,1,13,-21.5354166666667,0
"163",2020,1,13,-10.9833333333333,0
"164",2021,1,13,-30.0008333333333,0
"165",2022,1,13,-32.0395833333333,0
"166",1989,1,14,-33.0125,NA
"167",1990,1,14,-31.5916666666667,NA
"168",1992,1,14,-31.8916666666667,NA
"169",1993,1,14,NA,NA
"170",1994,1,14,-15.8875,NA
"171",1995,1,14,-25.1291666666667,NA
"172",1996,1,14,-14.9916666666667,NA
"173",1997,1,14,-3.7625,NA
"174",1998,1,14,-39.8,NA
"175",1999,1,14,-12.275,0
"176",2000,1,14,-15.9291666666667,0
"177",2001,1,14,-4.35,NA
"178",2002,1,14,-5.40416666666667,0
"179",2003,1,14,-16.9458333333333,0
"180",2004,1,14,-28.9041666666667,0
"181",2005,1,14,-33.1291666666667,0
"182",2006,1,14,-31.9083333333333,NA
"183",2007,1,14,-19.8083333333333,0
"184",2008,1,14,-39.5083333333333,0.06
"185",2009,1,14,-4.06466666666667,0.82
"186",2010,1,14,-37.0195833333333,NA
"187",2011,1,14,-21.2158333333333,NA
"188",2012,1,14,-25.425,NA
"189",2013,1,14,-4.485125,NA
"190",2014,1,14,-28.68,0.7
"191",2015,1,14,-16.20125,0
"192",2016,1,14,-13.6770833333333,2.4
"193",2017,1,14,-34.7279166666667,NA
"194",2018,1,14,-4.37558333333333,0.1
"195",2019,1,14,-11.5866666666667,0.6
"196",2020,1,14,-15.7583333333333,1.2
"197",2021,1,14,-26.02375,0
"198",2022,1,14,-31.9866666666667,0
"199",1989,1,15,-32.8666666666667,NA
"200",1990,1,15,-24.5583333333333,NA
"201",1992,1,15,-38.7625,NA
"202",1993,1,15,NA,NA
"203",1994,1,15,-17.0625,NA
"204",1995,1,15,-29.7708333333333,NA
"205",1996,1,15,-18.0583333333333,NA
"206",1997,1,15,-2.925,NA
"207",1998,1,15,-40.7166666666667,NA
"208",1999,1,15,-14.65,0
"209",2000,1,15,-23.3208333333333,0
"210",2001,1,15,-2.02083333333333,NA
"211",2002,1,15,-4.275,0
"212",2003,1,15,-12.1083333333333,0
"213",2004,1,15,-37.625,0
"214",2005,1,15,-38.8708333333333,0
"215",2006,1,15,-32.4625,NA
"216",2007,1,15,-26.4625,0.78
"217",2008,1,15,-29.4625,0.08
"218",2009,1,15,1.738625,0.41
"219",2010,1,15,-35.7795833333333,NA
"220",2011,1,15,-18.6120833333333,NA
"221",2012,1,15,-25.1241666666667,NA
"222",2013,1,15,-16.2544,NA
"223",2014,1,15,-32.5345833333333,0
"224",2015,1,15,-21.3204166666667,1.9
"225",2016,1,15,-15.5554166666667,0.8
"226",2017,1,15,-37.0820833333333,NA
"227",2018,1,15,-6.288375,0
"228",2019,1,15,-10.3285416666667,0.1
"229",2020,1,15,-21.7625,0
"230",2021,1,15,-30.25875,0
"231",2022,1,15,-32.3416666666667,0
"232",1989,1,16,-35.175,NA
"233",1990,1,16,-16.4166666666667,NA
"234",1992,1,16,-18.2625,NA
"235",1993,1,16,NA,NA
"236",1994,1,16,-12.4208333333333,NA
"237",1995,1,16,-11.8541666666667,NA
"238",1996,1,16,-24.7583333333333,NA
"239",1997,1,16,-5.23333333333333,NA
"240",1998,1,16,-37.2375,NA
"241",1999,1,16,-19.1208333333333,0
"242",2000,1,16,-23.2,0
"243",2001,1,16,-13.4291666666667,NA
"244",2002,1,16,-7.74583333333333,0
"245",2003,1,16,-14.5833333333333,0
"246",2004,1,16,-30.7958333333333,0
"247",2005,1,16,-32.1833333333333,0
"248",2006,1,16,-25.7541666666667,NA
"249",2007,1,16,-25.0958333333333,0.06
"250",2008,1,16,-13.2916666666667,0.68
"251",2009,1,16,1.23816666666667,0.13
"252",2010,1,16,-31.6354166666667,NA
"253",2011,1,16,-22.6133333333333,NA
"254",2012,1,16,-23.8870833333333,NA
"255",2013,1,16,-26.0745833333333,NA
"256",2014,1,16,-37.46375,0
"257",2015,1,16,-25.2270833333333,0.7
"258",2016,1,16,-25.7633333333333,0
"259",2017,1,16,-39.7641666666667,NA
"260",2018,1,16,-9.31675,0
"261",2019,1,16,-9.77354166666667,0
"262",2020,1,16,-11.0833333333333,0
"263",2021,1,16,-29.3570833333333,0
"264",2022,1,16,-32.8816666666667,0
"265",1989,1,17,-35.0291666666667,NA
"266",1990,1,17,-23.8791666666667,NA
"267",1992,1,17,-10.7,NA
"268",1993,1,17,NA,NA
"269",1994,1,17,-10.6583333333333,NA
"270",1995,1,17,-5.27083333333333,NA
"271",1996,1,17,-23.8583333333333,NA
"272",1997,1,17,-10.0791666666667,NA
"273",1998,1,17,-43.1416666666667,NA
"274",1999,1,17,-20.2875,0
"275",2000,1,17,-25.65,0
"276",2001,1,17,-22.5625,NA
"277",2002,1,17,-5.1125,0.254
"278",2003,1,17,-10.825,0
"279",2004,1,17,-35.0625,0
"280",2005,1,17,-17.6666666666667,0
"281",2006,1,17,-27.8375,NA
"282",2007,1,17,-16.8125,0
"283",2008,1,17,-15.775,0.3
"284",2009,1,17,0.195666666666667,0.31
"285",2010,1,17,-38.6666666666667,NA
"286",2011,1,17,-22.4654166666667,NA
"287",2012,1,17,-23.5175,NA
"288",2013,1,17,-36.7083333333333,NA
"289",2014,1,17,-34.6795833333333,2
"290",2015,1,17,-12.8282916666667,0.4
"291",2016,1,17,-33.3179166666667,0.1
"292",2017,1,17,-34.20875,NA
"293",2018,1,17,-7.03345833333333,0
"294",2019,1,17,-13.3683333333333,0
"295",2020,1,17,-8.67916666666667,0
"296",2021,1,17,-23.415,0
"297",2022,1,17,-27.8983333333333,0
"298",1989,1,18,-37.6708333333333,NA
"299",1990,1,18,-38.7583333333333,NA
"300",1992,1,18,-22.8666666666667,NA
"301",1993,1,18,NA,NA
"302",1994,1,18,-17.3791666666667,NA
"303",1995,1,18,-11.3958333333333,NA
"304",1996,1,18,-28.2625,NA
"305",1997,1,18,-21.2375,NA
"306",1998,1,18,-34.9333333333333,NA
"307",1999,1,18,-30.6333333333333,0.254
"308",2000,1,18,-15.4666666666667,0
"309",2001,1,18,-20.7833333333333,NA
"310",2002,1,18,-8.9,0
"311",2003,1,18,-6.02083333333333,0
"312",2004,1,18,-37.2916666666667,0
"313",2005,1,18,-14.3833333333333,1.524
"314",2006,1,18,-29.1625,NA
"315",2007,1,18,-7.92083333333333,0.59
"316",2008,1,18,-14.5916666666667,0
"317",2009,1,18,-13.5064166666667,0.06
"318",2010,1,18,-39.3708333333333,NA
"319",2011,1,18,-25.8070833333333,NA
"320",2012,1,18,-18.1004166666667,NA
"321",2013,1,18,-31.8733333333333,NA
"322",2014,1,18,-30.3925,3.5
"323",2015,1,18,-10.4984583333333,0.3
"324",2016,1,18,-37.1729166666667,0
"325",2017,1,18,-37.2683333333333,NA
"326",2018,1,18,-11.7591666666667,2.1
"327",2019,1,18,-12.6275416666667,0.4
"328",2020,1,18,-11.5166666666667,0
"329",2021,1,18,-5.6705,2.9
"330",2022,1,18,-31.3345833333333,0
"331",1989,1,19,-37.3916666666667,NA
"332",1990,1,19,-39.5875,NA
"333",1992,1,19,-26.2458333333333,NA
"334",1993,1,19,NA,NA
"335",1994,1,19,-21.2083333333333,NA
"336",1995,1,19,-13.0166666666667,NA
"337",1996,1,19,-27.625,NA
"338",1997,1,19,-28.2041666666667,NA
"339",1998,1,19,-26.3333333333333,NA
"340",1999,1,19,-32.6,0
"341",2000,1,19,-8.53333333333333,0
"342",2001,1,19,-10.9875,NA
"343",2002,1,19,-14.4625,0
"344",2003,1,19,-10.3875,0
"345",2004,1,19,-35.2541666666667,0
"346",2005,1,19,-17.6583333333333,0
"347",2006,1,19,-30.8083333333333,NA
"348",2007,1,19,-18,0.3
"349",2008,1,19,-2.95833333333333,1.4
"350",2009,1,19,-20.7116666666667,0
"351",2010,1,19,-36.6408333333333,NA
"352",2011,1,19,-29.9770833333333,NA
"353",2012,1,19,-19.9566666666667,NA
"354",2013,1,19,-28.36625,NA
"355",2014,1,19,-14.9216666666667,1.8
"356",2015,1,19,-18.1145833333333,0.1
"357",2016,1,19,-40.0129166666667,0
"358",2017,1,19,-37.27375,NA
"359",2018,1,19,-26.4083333333333,0.6
"360",2019,1,19,-23.02125,1.1
"361",2020,1,19,-22.0583333333333,0
"362",2021,1,19,-9.54254166666667,0.2
"363",2022,1,19,-37.2270833333333,0
"364",1989,1,2,-11.1458333333333,NA
"365",1990,1,2,-28.2416666666667,NA
"366",1992,1,2,-30.5583333333333,NA
"367",1993,1,2,-17.3416666666667,NA
"368",1994,1,2,-14.8916666666667,NA
"369",1995,1,2,-0.9875,NA
"370",1996,1,2,-8.82083333333333,NA
"371",1997,1,2,-38.9583333333333,NA
"372",1998,1,2,-37.6416666666667,NA
"373",1999,1,2,-10.9583333333333,0
"374",2000,1,2,-27.8208333333333,0
"375",2001,1,2,-1,NA
"376",2002,1,2,-26,0
"377",2003,1,2,-28.3583333333333,0
"378",2004,1,2,-12.3166666666667,0
"379",2005,1,2,-2.25,0
"380",2006,1,2,-28.7083333333333,NA
"381",2007,1,2,-39.2416666666667,0
"382",2008,1,2,-25.0125,1.15
"383",2009,1,2,-35.88,0
"384",2010,1,2,-19.5641666666667,0.51
"385",2011,1,2,-1.139875,NA
"386",2012,1,2,-30.55625,NA
"387",2013,1,2,-21.3505416666667,NA
"388",2014,1,2,-12.6835,0
"389",2015,1,2,-11.9141666666667,0
"390",2016,1,2,-3.48545833333333,0
"391",2017,1,2,-0.33825,NA
"392",2018,1,2,-10.6037916666667,0.5
"393",2019,1,2,-13.3425,0.1
"394",2020,1,2,-30.8916666666667,1.5
"395",2021,1,2,-39.74875,0
"396",2022,1,2,-36.145,0
"397",1989,1,20,-35.525,NA
"398",1990,1,20,-33.0708333333333,NA
"399",1992,1,20,-25.9541666666667,NA
"400",1993,1,20,NA,NA
"401",1994,1,20,-33.925,NA
"402",1995,1,20,-11.1666666666667,NA
"403",1996,1,20,-16.25,NA
"404",1997,1,20,-32.5208333333333,NA
